Week,Brandon,Ingvild,Dave,Carson,Inge,Lisbeth,Sander,Stian
1,KC,CHI,BAL,SF,SF,LAC,DET,PIT
2,IND,LAC,BUF,DEN,CIN,CLE,HOU,IND
3,PHI,SEA,DAL,WAS,NYJ,ARI,MIA,NYG
4,IND,NE,LAR,CAR,ATL,TEN,TB,LV
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
Total,0,0,0,0,0,0,0,0
